person_id,household_id,client_no,role,date_of_birth,employment_status,employment_started,desired_retirement_age,occupation_group,smoker,state_of_health,gross_annual_income,title,first_name,middle_names,last_name,known_as,pronouns,place_of_birth,nationality,gender,legal_sex,home_phone,mobile_phone,email_address
HH000001_P1,HH000001,1,primary,1948-12-12,retired,1992-02-18,66,retired,False,good,28394.75,Mr,Michael,Jane,Johnson,Michae,he_him,"Phoenix, AZ",American,male,male,,(553) 477-6124,michael.johnson@example.com
HH000001_P2,HH000001,2,spouse_partner,1950-02-08,retired,1972-11-10,65,retired,False,excellent,9804.21,Mrs,Linda,Rose,Davis,Linda,she_her,"Phoenix, AZ",American,female,female,,(548) 949-1610,linda.davis@example.com
HH000002_P1,HH000002,1,primary,1979-07-16,employed,2002-12-13,67,operations,False,good,129970.93,Dr,William,,Miller,William,he_him,"Chicago, IL",American,male,male,(575) 674-3578,(316) 353-8246,william.miller@example.com
HH000002_P2,HH000002,2,spouse_partner,1975-11-15,employed,1994-05-17,71,healthcare,False,fair,111272.85,Mrs,Patricia,Jane,Brown,Patricia,she_her,"New York, NY",American,female,female,(322) 766-0553,(354) 339-8309,patricia.brown@example.com
HH000003_P1,HH000003,1,primary,1983-01-10,employed,2005-12-09,66,sales,True,good,199472.02,Mr,Thomas,Grace,Davis,Thomas,he_him,"Los Angeles, CA",American,male,male,(820) 688-4007,(701) 976-4118,thomas.davis@example.com
HH000004_P1,HH000004,1,primary,1978-01-25,self_employed,2001-04-06,64,business_owner,False,fair,42133.14,Dr,Daniel,Ray,Wilson,Daniel,he_him,"Seattle, WA",American,male,male,,(529) 974-1072,daniel.wilson@example.com
HH000004_P2,HH000004,2,spouse_partner,1980-12-02,inactive,2004-02-05,67,inactive,False,good,35846.27,Dr,Susan,Anne,Wilson,Susan,she_her,"Seattle, WA",American,female,female,,(298) 969-4896,susan.wilson@example.com
HH000005_P1,HH000005,1,primary,1969-06-30,employed,1988-06-07,68,professional,False,good,130834.89,Mr,Robert,,Brown,Robert,he_him,"Chicago, IL",American,male,male,,(532) 983-2845,robert.brown@example.com
HH000005_P2,HH000005,2,spouse_partner,1962-03-18,employed,1988-06-03,68,professional,False,fair,59948.75,Dr,Emily,James,Brown,Emily,she_her,"Chicago, IL",American,female,female,,(689) 722-0250,emily.brown@example.com
HH000006_P1,HH000006,1,primary,1993-05-27,employed,2012-09-02,65,business_owner,False,good,111079.93,Dr,Michael,Anne,Smith,Michael,he_him,"Philadelphia, PA",American,male,male,(570) 206-4814,(271) 966-2447,michael.smith@example.com
